Summary,Key,Description,Link,Estimate
US01 - Sistema de Autenticación Seguro,PP-1,,,3
US02 - Muro Social Dinámico,PP-2,,,5
US03 - Chat y Coordinación de Partidas,PP-3,,,8
US04 - Geolocalización de Partidas Cercanas,PP-4,,,13
US05 - Panel Lateral de Amigos y Actividad,PP-5,,,5
US06 - Visualización de Partidas en Tiempo Real,PP-6,,,8
US07 - Blog con Moderación por IA,PP-7,,,13
US08 - Registro y Comunicación con Clubes/Ligas,PP-8,,,8
US09 - Creación de Competiciones propias,PP-9,,,20
US10 - Gestor de Puntuaciones y Rankings,PP-10,,,13
